"probe" "x" "y" "rads" "angs" "azAngs" "angs_azAng"
1 0.366539399030647 -0.774404949767242 0.856769605708415 3.58869958826028 2.0128709827159 1.57582860554437
2 0.530696917413662 -0.318938204082649 0.619161365215747 3.71806747869533 2.60045291724483 1.11761456145049
3 0.0984275952341511 -0.281063103725027 0.29779936161638 1.97851858165194 1.9076470786208 0.0708715030311442
4 -0.143848985126478 -0.717933067527285 0.732202444663397 2.94384572022485 1.37304939342996 1.5707963267949
5 -0.153882004753534 0.386724050270757 0.416215283771254 -0.761343738622676 -1.19209154723789 0.43074780861521
6 -0.457267432850321 -0.0144037502994811 0.457494232934376 1.52581292272413 0.0314892077890416 1.49432371493509
7 -0.713548195329918 -0.11913794217941 0.723425791857967 1.88916455383536 0.16543943503367 1.72372511880169
8 0.479856395900222 0.484268160945554 0.681746149524835 -0.780822266827275 3.93156671355742 1.5707963267949
9 -0.440410095568942 0.103043858616685 0.452304199712605 2.40090519609271 -0.229838028076418 2.63074322416913
10 -0.587920717346548 0.280627018919288 0.651461659372834 1.43379144559955 -0.445340518128706 1.87913196372826
11 0.447698429104246 0.340829782978939 0.562671151195687 -0.920106643026332 3.79228233735836 1.5707963267949
12 0.28239137412046 -0.519928666359571 0.591667733005683 3.37288306263767 2.06835350846009 1.30452955417758
13 0.0149710678143517 -0.0365607419169153 0.0395072236561519 2.4338934984622 1.95945241348094 0.474441084981266
14 0.0725219259088959 0.099286708150874 0.122952349115306 -0.690983228487865 4.08153118902548 1.51067088966624
15 -0.240283129315931 0.257266509435552 0.352025622804661 1.95292694669762 -0.819518957465479 2.7724459041631
16 -0.00529806464749683 0.274464609659287 0.274515739884681 -1.04312767555185 -1.55149545316747 0.508367777615621
17 0.114310527628598 -0.0353516600409441 0.119652148306576 -0.729380834302271 2.84166235530612 2.71214211757119
18 0.219616105529147 -0.0648450820251645 0.228989341390904 3.16778442947382 2.85448498148854 0.313299447985277
19 0.317587781400429 0.0124666544684557 0.317832371492399 4.68278614182193 3.18082671061146 1.50195943121046
20 0.195789295564524 0.305802256097459 0.363109443683235 -1.522604605862 4.14289984319625 0.617680858121339
21 -0.783874972956853 0.475019123328621 0.916571405159467 1.15211649921396 -0.544811088722952 1.69692758793691
